State,Year,Month,SPI
SD,2008,1,-0.6934848484848485
SD,2008,2,-0.3350000000000001
SD,2008,3,0.018484848484848493
SD,2008,4,-0.03560606060606062
SD,2008,5,0.38060606060606067
SD,2008,6,0.8584848484848485
SD,2008,7,0.35590909090909095
SD,2008,8,-0.6225757575757578
SD,2008,9,0.488787878787879
SD,2008,10,1.3672727272727272
SD,2008,11,0.6972727272727273
SD,2008,12,0.7192424242424241
SD,2009,1,0.03212121212121214
SD,2009,2,0.8395454545454544
SD,2009,3,0.842121212121212
SD,2009,4,-0.12424242424242424
SD,2009,5,-1.0762121212121212
SD,2009,6,0.17954545454545465
SD,2009,7,0.8101515151515151
SD,2009,8,0.5921212121212119
SD,2009,9,-0.22151515151515147
SD,2009,10,1.889090909090909
SD,2009,11,-1.146515151515151
SD,2009,12,1.44
SD,2010,1,0.6740909090909091
SD,2010,2,0.3484848484848486
SD,2010,3,0.361060606060606
SD,2010,4,0.29515151515151505
SD,2010,5,0.29045454545454563
SD,2010,6,1.0377272727272724
SD,2010,7,1.0130303030303027
SD,2010,8,0.025303030303030286
SD,2010,9,1.2663636363636368
SD,2010,10,-0.08075757575757576
SD,2010,11,-0.5306060606060605
SD,2010,12,1.1518181818181823
SD,2011,1,1.2059090909090904
SD,2011,2,1.2489393939393945
SD,2011,3,0.12803030303030302
SD,2011,4,0.39424242424242434
SD,2011,5,0.8081818181818182
SD,2011,6,0.7190909090909092
SD,2011,7,0.49984848484848476
SD,2011,8,0.07166666666666667
SD,2011,9,-1.1030303030303035
SD,2011,10,-0.015303030303030292
SD,2011,11,-0.8109090909090908
SD,2011,12,-0.5378787878787878
SD,2012,1,0.1668181818181818
SD,2012,2,1.4010606060606061
SD,2012,3,-1.1272727272727268
SD,2012,4,0.9489393939393941
SD,2012,5,0.21287878787878795
SD,2012,6,-0.9316666666666666
SD,2012,7,-1.1793939393939392
SD,2012,8,-0.9490909090909092
SD,2012,9,-1.919848484848485
SD,2012,10,-0.29742424242424254
SD,2012,11,-0.4407575757575757
SD,2012,12,0.6399999999999999
SD,2013,1,0.1272727272727273
SD,2013,2,0.5737878787878788
SD,2013,3,-0.37136363636363645
SD,2013,4,0.46515151515151504
SD,2013,5,1.0627272727272727
SD,2013,6,0.00015151515151512642
SD,2013,7,0.04606060606060605
SD,2013,8,0.048484848484848464
SD,2013,9,0.18590909090909097
SD,2013,10,2.0207575757575764
SD,2013,11,-0.5392424242424244
SD,2013,12,0.6986363636363634
SD,2014,1,-0.5459090909090908
SD,2014,2,-0.4006060606060605
SD,2014,3,-0.3590909090909091
SD,2014,4,-0.0645454545454545
SD,2014,5,-0.2683333333333333
SD,2014,6,1.2809090909090912
SD,2014,7,-1.2548484848484849
SD,2014,8,1.2548484848484849
SD,2014,9,-0.0781818181818182
SD,2014,10,-0.622878787878788
SD,2014,11,0.17287878787878797
SD,2014,12,0.6918181818181819
SD,2015,1,-0.3503030303030303
SD,2015,2,-0.3627272727272728
SD,2015,3,-1.5712121212121213
SD,2015,4,-1.113181818181818
SD,2015,5,1.2533333333333339
SD,2015,6,0.24696969696969698
SD,2015,7,0.6071212121212121
SD,2015,8,1.0093939393939395
SD,2015,9,-0.08287878787878787
SD,2015,10,0.24
SD,2015,11,0.840757575757576
SD,2015,12,1.4730303030303027
SD,2016,1,-0.29939393939393943
SD,2016,2,0.3065151515151515
SD,2016,3,0.16045454545454546
SD,2016,4,1.2406060606060607
SD,2016,5,0.07499999999999996
SD,2016,6,-1.0474242424242424
SD,2016,7,0.18090909090909096
SD,2016,8,0.5212121212121215
SD,2016,9,0.5528787878787877
SD,2016,10,0.16196969696969685
SD,2016,11,0.651969696969697
SD,2016,12,1.5654545454545457
TN,1994,1,0.6416842105263155
TN,1994,2,1.2336842105263157
TN,1994,3,1.5034736842105267
TN,1994,4,1.0607368421052632
TN,1994,5,-0.21789473684210534
TN,1994,6,0.9061052631578945
TN,1994,7,0.4826315789473686
TN,1994,8,0.19200000000000003
TN,1994,9,-0.18610526315789486
TN,1994,10,0.364315789473684
TN,1994,11,0.037894736842105266
TN,1994,12,-0.6318947368421053
TN,1995,1,0.5235789473684209
TN,1995,2,-0.6287368421052631
TN,1995,3,-0.43389473684210533
TN,1995,4,-0.5416842105263157
TN,1995,5,0.9278947368421053
TN,1995,6,0.3030526315789474
TN,1995,7,-0.43168421052631567
TN,1995,8,0.2842105263157893
TN,1995,9,0.08263157894736843
TN,1995,10,0.9767368421052629
TN,1995,11,0.8976842105263156
TN,1995,12,-0.805684210526316
TN,1996,1,0.6144210526315786
TN,1996,2,-0.5986315789473684
TN,1996,3,0.31199999999999994
TN,1996,4,0.006210526315789495
TN,1996,5,0.44621052631578956
TN,1996,6,0.18442105263157893
TN,1996,7,0.9228421052631578
TN,1996,8,-0.21305263157894735
TN,1996,9,1.2801052631578946
TN,1996,10,-0.030210526315789483
TN,1996,11,1.1998947368421051
TN,1996,12,0.5085263157894736
TN,1997,1,0.274421052631579
TN,1997,2,0.2709473684210526
TN,1997,3,1.3789473684210527
TN,1997,4,-0.1077894736842105
TN,1997,5,0.5328421052631581
TN,1997,6,1.3887368421052633
TN,1997,7,-1.1767368421052637
TN,1997,8,-0.1644210526315789
TN,1997,9,0.6113684210526316
TN,1997,10,0.1352631578947368
TN,1997,11,-0.36578947368421055
TN,1997,12,-0.5434736842105267
TN,1998,1,0.48905263157894713
TN,1998,2,0.20600000000000004
TN,1998,3,-0.2343157894736842
TN,1998,4,1.7825263157894737
TN,1998,5,0.234
TN,1998,6,1.5951578947368423
TN,1998,7,0.6826315789473685
TN,1998,8,-0.531578947368421
TN,1998,9,-1.3892631578947365
TN,1998,10,-0.25326315789473686
TN,1998,11,-1.0907368421052634
TN,1998,12,0.890526315789474
TN,1999,1,1.3170526315789466
TN,1999,2,-0.4095789473684209
TN,1999,3,-0.2433684210526316
TN,1999,4,-0.2356842105263159
TN,1999,5,0.021157894736842098
TN,1999,6,0.7903157894736842
TN,1999,7,-0.3476842105263158
TN,1999,8,-1.656526315789474
TN,1999,9,-1.188631578947369
TN,1999,10,-0.1348421052631579
TN,1999,11,-0.2669473684210527
TN,1999,12,-0.7653684210526314
TN,2000,1,-0.3041052631578947
TN,2000,2,-0.23157894736842097
TN,2000,3,-0.22999999999999998
TN,2000,4,0.9888421052631574
TN,2000,5,0.14957894736842103
TN,2000,6,0.0688421052631579
TN,2000,7,-0.8030526315789472
TN,2000,8,-0.5554736842105261
TN,2000,9,0.040105263157894734
TN,2000,10,-1.957052631578948
TN,2000,11,0.493052631578947
TN,2000,12,-0.4564210526315786
TN,2001,1,-0.2657894736842106
TN,2001,2,1.081052631578947
TN,2001,3,-0.8403157894736843
TN,2001,4,-0.8707368421052631
TN,2001,5,0.0693684210526316
TN,2001,6,0.15642105263157888
