State_Abbrev,Year,Gas_Per_Gallon
MT,2009,2.3671069047619047
NC,2009,2.3039516666666664
ND,2009,2.3865392857142855
NE,2009,2.307595238095238
NH,2009,2.3245985714285715
NJ,2009,2.212862380952381
NM,2009,2.3270276190476187
NV,2009,2.429047619047619
NY,2009,2.352532619047619
OH,2009,2.322169523809524
OK,2009,2.172783095238095
OR,2009,2.4897738095238093
PA,2009,2.3756085714285713
RI,2009,2.3901828571428574
SC,2009,2.164281428571429
SD,2009,2.322169523809524
TN,2009,2.2104333333333335
TX,2009,2.208004285714286
US,2009,2.2990935714285716
UT,2009,2.3355292857142858
VA,2009,2.2298657142857143
VT,2009,2.393826428571429
WA,2009,2.5735759523809527
WI,2009,2.380466666666667
WV,2009,2.436334761904762
WY,2009,2.1970735714285716
AK,2010,3.3744519047619046
AL,2010,2.620006190476191
AR,2010,2.6514414285714287
AZ,2010,2.7155209523809525
CA,2010,2.987556666666667
CO,2010,2.652650476190477
CT,2010,2.8557704761904765
DC,2010,2.867860952380952
DE,2010,2.7264023809523814
FL,2010,2.6296785714285713
GA,2010,2.536581904761905
HI,2010,3.375660952380953
IA,2010,2.675622380952381
ID,2010,2.859397619047619
IL,2010,2.722775238095238
IN,2010,2.6308876190476194
KS,2010,2.6574866666666668
KY,2010,2.721566190476191
LA,2010,2.6345147619047617
MA,2010,2.7542104761904764
MD,2010,2.7397019047619047
ME,2010,2.8388438095238095
MI,2010,2.6586957142857144
MN,2010,2.773555238095238
MO,2010,2.597034285714286
MS,2010,2.6284695238095237
MT,2010,2.846098095238095
NC,2010,2.7324476190476195
ND,2010,2.841261904761905
NE,2010,2.7493742857142855
NH,2010,2.7566285714285717
NJ,2010,2.64056
NM,2010,2.7348657142857142
NV,2010,2.8267533333333335
NY,2010,2.7723461904761906
OH,2010,2.7348657142857142
OK,2010,2.6030795238095243
OR,2010,2.8992961904761905
PA,2010,2.800154285714286
RI,2010,2.8315895238095243
SC,2010,2.5704352380952384
